-,-,-
-2, -21, 1000
-9, -17, 1012
-9, -17, 1012
-8, -16, 1008
-7, -18, 1008
-6, -18, 1008
-6, -19, 1007
-6, -19, 1007
-4, -18, 1009
-7, -19, 1008
-7, -19, 1008
-7, -17, 1009
-7, -17, 1009
-6, -18, 1007
-6, -18, 1008
-6, -18, 1008
-8, -18, 1008
-8, -18, 1008
-,-,-
-6, -18, 1008
-8, -18, 1002
-5, -18, 1009
-6, -18, 1008
-6, -18, 1009
-6, -18, 1009
-5, -19, 1009
-6, -18, 1008
-6, -18, 1008
-7, -19, 1009
-6, -18, 1009
-6, -18, 1009
-6, -18, 1009
-,-,-
-19, -14, 1011
6, -23, 1006
-6, -18, 1007
-6, -18, 1007
-7, -17, 1009
-6, -18, 1009
-6, -18, 1009
-6, -18, 1010
-6, -18, 1010
-,-,-
-7, -19, 997
-7, -19, 997
-7, -17, 1009
-6, -18, 1008
-6, -18, 1008
-6, -18, 1008
-5, -18, 1008
-8, -18, 1009
-6, -18, 1009
-7, -18, 1009
-7, -18, 1009
-6, -18, 1009
-5, -18, 1009
-6, -17, 1008
-,-,-
-6, -18, 1009
-8, -17, 1005
-6, -19, 1010
-6, -19, 1009
-6, -19, 1009
-6, -19, 1009
-6, -18, 1008
-6, -18, 1009
-7, -18, 1008
-5, -17, 1009
-6, -18, 1009
-6, -18, 1009
-7, -18, 1009
-6, -18, 1009
-6, -19, 1008
-6, -19, 1008
-6, -19, 1008
-6, -18, 1009
-7, -18, 1009
-6, -18, 1008
-6, -18, 1009
-6, -18, 1009
-6, -18, 1009
-7, -18, 1009
-7, -17, 1009
-9, -17, 1009
-9, -17, 1009
-7, -19, 1008
